TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,1104,svchost.exe,0x7ffa1de30000,0x354000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa19a30000,0x12000,kernel.appcore.dll,C:\\Windows\\SYSTEM32\\kernel.appcore.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1cb20000,0x9e000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c350000,0x82000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1ce20000,0x1a1000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c320000,0x22000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c830000,0x2b000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c3e0000,0x119000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c120000,0x9d000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa16fc0000,0x7d000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c760000,0xcd000,OLEAUT32.dll,C:\\Windows\\System32\\OLEAUT32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1ca60000,0xb1000,advapi32.dll,C:\\Windows\\System32\\advapi32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1baf0000,0x24000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1b510000,0x2b000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa19610000,0xc000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa16f30000,0x30000,profsvcext.dll,C:\\Windows\\SYSTEM32\\profsvcext.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1d0d0000,0x5e000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1bab0000,0x2e000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1b060000,0x43000,logoncli.dll,c:\\windows\\system32\\logoncli.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1b0b0000,0xc000,netutils.dll,c:\\windows\\system32\\netutils.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1acb0000,0x19000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c6b0000,0xa9000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1a3f0000,0x23000,-,-,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1ba70000,0x32000,-,-,6,2026-02-17 16:29:03.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1ade0000,0x33000,-,-,6,2026-02-17 16:29:03.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa07860000,0x28d000,-,-,6,2026-02-17 16:29:03.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c880000,0xad000,-,-,6,2026-02-17 16:29:03.000000 UTC,Disabled
