TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
2,2864,660,SgrmBroker.exe,0xdb84c76cb080,7,-,0,False,2026-02-17 16:30:58.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe
2,1880,660,svchost.exe,0xdb84c62112c0,12,-,0,False,2026-02-17 16:28:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
3,6372,1880,audiodg.exe,0xdb84c7a10080,8,-,0,False,2026-02-18 00:55:11.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\audiodg.exe,C:\\Windows\\system32\\AUDIODG.EXE 0x4c8,C:\\Windows\\system32\\AUDIODG.EXE
2,10072,660,svchost.exe,0xdb84c8083080,2,-,0,False,2026-02-17 18:34:14.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wusvcs -p -s WaaSMedicSvc,C:\\Windows\\system32\\svchost.exe
2,2400,660,svchost.exe,0xdb84c64020c0,5,-,0,False,2026-02-17 16:28:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s LanmanServer,C:\\Windows\\system32\\svchost.exe
2,5984,660,svchost.exe,0xdb84c756d080,1,-,0,False,2026-02-17 16:29:13.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s camsvc,C:\\Windows\\system32\\svchost.exe
2,2916,660,svchost.exe,0xdb84c66450c0,5,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetSvcs -p -s iphlpsvc,C:\\Windows\\System32\\svchost.exe
2,1896,660,svchost.exe,0xdb84c0a9a0c0,8,-,0,False,2026-02-17 16:28:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalService -p -s netprofm,C:\\Windows\\System32\\svchost.exe
2,7020,660,svchost.exe,0xdb84c76f2240,2,-,0,False,2026-02-17 16:29:37.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p,C:\\Windows\\System32\\svchost.exe
2,2928,660,svchost.exe,0xdb84c6646080,2,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalService -p -s WdiServiceHost,C:\\Windows\\System32\\svchost.exe
2,4464,660,svchost.exe,0xdb84c6f3a280,3,-,0,False,2026-02-17 16:29:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService,C:\\Windows\\System32\\svchost.exe
3,4540,4464,ctfmon.exe,0xdb84c6f43300,8,-,1,False,2026-02-17 16:29:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\ctfmon.exe,"""ctfmon.exe""",C:\\Windows\\system32\\ctfmon.exe
2,5492,660,SecurityHealth,0xdb84c7497280,6,-,0,False,2026-02-17 16:29:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe
2,7032,660,svchost.exe,0xdb84c8080080,3,-,0,False,2026-02-17 16:30:58.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,2428,660,svchost.exe,0xdb84c6436300,3,-,0,False,2026-02-17 16:28:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent,C:\\Windows\\system32\\svchost.exe
